Date,Close,High,Low,Open,Volume
2015/1/5,15.08559608,15.17212892,14.59524187,14.68177581,7783000
2015/1/6,15.0567503,15.37403769,14.94137246,15.0567503,14526000
2015/1/7,15.54710579,15.63363862,15.11444052,15.22981726,14602000
2015/1/8,15.60479259,15.66248151,15.46057085,15.6336376,11277000
2015/1/9,15.57595062,15.979772,15.54710671,15.7490163,10399000
2015/1/12,15.54710579,15.66248253,15.48941687,15.48941687,6834000
2015/1/13,15.57595062,15.72017239,15.46057277,15.54710671,4657000
2015/1/14,15.60479259,15.66248151,15.37403802,15.57594869,4874000
2015/1/15,15.40288448,15.57595016,15.40288448,15.46057231,3224000
2015/1/16,14.82599926,15.4605742,14.82599926,15.4605742,9621000
2015/1/19,15.14328384,15.20097276,14.99906209,14.99906209,4142000
2015/1/20,15.2009716,15.43172617,15.14328269,15.14328269,3320000
2015/1/21,15.11444092,15.3163505,15.05675199,15.22981767,4269000
2015/1/22,15.31634903,15.46057078,15.14328337,15.14328337,5831000
2015/1/23,15.51826096,15.6336388,15.3740392,15.3740392,10782000
2015/1/26,15.34519482,15.5759494,15.20097306,15.51826048,5969000
2015/1/27,15.37403965,15.63363926,15.37403965,15.4894175,7806000
2015/1/28,15.37403965,15.51826141,15.2586629,15.37403965,5401000
2015/1/29,15.37403965,15.57595034,15.34519574,15.46057249,7419000
2015/1/30,15.34519482,15.48941657,15.34519482,15.37403873,5527000
2015/2/2,15.40288448,15.48941732,15.28750663,15.48941732,6113000
2015/2/3,15.57595062,15.72017239,15.40288494,15.54710671,13864000
2015/2/4,15.57595062,15.69132847,15.43172886,15.63363955,6364000
2015/2/5,15.37403965,15.66248317,15.2586629,15.46057249,4502000
2015/2/6,15.48941803,15.6336398,15.46057302,15.57595087,6219000
2015/2/9,15.66248131,15.86439197,15.51825956,15.57594848,12054000
2015/2/10,15.28750515,15.57594864,15.17212731,15.46057081,12321000
2015/2/11,15.34519482,15.43172765,15.2875059,15.34519482,4705000
2015/2/12,15.34519482,15.43172765,15.31634981,15.40288374,3152000
2015/2/13,15.25866127,15.46057084,15.25866127,15.31634909,4517000
2015/2/24,15.31634903,15.51825969,15.28750512,15.51825969,4971000
2015/2/25,15.48941803,15.51826194,15.28750734,15.31635125,10808000
2015/2/26,15.34519482,15.5759494,15.31634981,15.51826048,9896000
2015/3/2,15.63363934,15.72017217,15.43172865,15.46057256,11790000
2015/3/3,16.70088005,16.70088005,15.74901557,15.74901557,50739000
2015/3/4,16.49896812,17.16238794,16.49896812,16.81625553,34072000
2015/3/5,16.81625748,16.8739464,16.38359218,16.52781395,14630000
2015/3/6,17.07585716,17.3931446,16.90279038,17.01816824,23334000
2015/3/9,16.931633,17.07585474,16.84510017,17.01816582,9861000
2015/3/10,17.07585716,17.19123391,16.90279038,17.04701215,8503000
2015/3/11,16.90279007,17.01816792,16.87394616,16.90279007,5676000
2015/3/12,17.22008133,17.36430311,16.93163776,17.07585954,15499000
2015/3/13,17.13354492,17.39314342,17.10469991,17.24892167,7600000
2015/3/16,16.931633,17.24892039,16.81625516,17.24892039,6288000
2015/3/17,16.75856781,17.04701133,16.58550214,16.96047849,13842000
2015/3/18,16.81625748,16.93163533,16.72972464,16.78741356,5266000
2015/3/19,16.96047974,17.04701258,16.84510298,16.93163582,7115000
2015/3/20,17.04701042,17.13354435,16.84510085,16.96047759,7377000
2015/3/23,17.0181694,17.16239118,16.98932549,17.07585833,4834000
2015/3/24,16.81625748,17.13354602,16.75856855,17.01816817,5849000
2015/3/25,16.81625748,16.98932425,16.67203571,16.90279032,7744000
2015/3/26,16.4701252,16.72972482,16.38359236,16.61434696,8784000
2015/3/27,16.06630325,16.64319026,16.06630325,16.32590174,7295000
2015/3/30,16.15283775,16.38359236,16.15283775,16.32590343,4264000
2015/3/31,16.41243744,16.47012527,16.23937066,16.29705959,6754000
2015/4/1,16.12399292,16.41243643,16.09514791,16.41243643,5133000
2015/4/2,16.15283775,16.26821561,16.0374599,16.21052668,6768000
2015/4/7,16.38358879,16.4412777,16.15283424,16.15283424,6969000
2015/4/8,16.21052551,16.4412801,16.15283659,16.4412801,9754000
2015/4/9,16.21052551,16.38359118,16.15283659,16.15283659,6816000
2015/4/10,16.26821518,16.38359193,16.21052625,16.21052625,4186000
2015/4/13,16.44127846,16.44127846,16.18167888,16.41243455,5023000
2015/4/14,16.41243744,16.49897028,16.29705959,16.35474851,4837000
2015/4/15,16.23936844,16.4412791,16.18167952,16.41243519,3668000
2015/4/16,16.21052551,16.29705835,16.1816805,16.23936942,3239000
2015/4/17,15.86439228,16.18167969,15.86439228,16.15283578,6368000
2015/4/20,15.74901676,15.86439462,15.54710717,15.86439462,8727000
2015/4/21,15.7778616,15.92208336,15.54710699,15.69132875,5845000
2015/4/22,15.74901676,15.89323853,15.57595108,15.77786178,5295000
2015/4/23,15.74901676,15.89323853,15.57595108,15.80670569,9219000
2015/4/24,15.80670357,15.83554858,15.6047929,15.63363791,11291000
2015/4/27,15.97977257,16.00861648,15.72017294,15.86439471,5508000
2015/4/28,16.03746033,16.1816821,16.00861641,16.1816821,6151000
2015/4/29,16.09514618,16.1528351,15.89323552,16.03745726,6767000
2015/4/30,16.12399292,16.21052575,16.066304,16.09514791,5136000
2015/5/4,15.66248131,16.12399155,15.66248131,16.12399155,7550000
2015/5/5,15.7778616,15.83555052,15.60479481,15.69132875,4215000
2015/5/6,15.74901676,15.77786178,15.57595108,15.57595108,4021000
2015/5/7,15.80670357,15.86439249,15.63363791,15.69132683,5337000
2015/5/8,15.66248131,15.83554806,15.6336374,15.80670305,4953000
2015/5/11,15.66248131,15.80670305,15.6336374,15.66248131,4048000
2015/5/12,15.31634903,15.72017036,15.08559446,15.63363753,10267000
2015/5/13,15.69132614,15.80670288,15.5471044,15.80670288,5415000
2015/5/14,15.57595062,15.7490163,15.46057277,15.69132847,3425000
2015/5/15,15.60479259,15.69132652,15.54710478,15.57594869,2593000
2015/5/18,15.57595062,15.60479454,15.40288494,15.60479454,2957000
2015/5/19,15.66248131,15.74901414,15.57594848,15.6336374,2446000
2015/5/20,15.48941803,15.66248371,15.4317291,15.66248371,3764000
2015/5/21,15.60479259,15.69132652,15.34519411,15.37403802,2272000
2015/5/22,15.46057224,15.69132794,15.46057224,15.54710618,2652000
2015/5/25,15.60479259,15.74901434,15.43172694,15.46057085,1687000
2015/5/26,15.63363934,15.74901609,15.57595041,15.74901609,1508000
2015/5/27,15.86439228,15.89323619,15.6336377,15.74901444,2703000
2015/5/28,16.0086174,16.12399526,15.95092847,16.03746132,4793000
2015/5/29,15.8355484,16.03745797,15.8355484,16.00861406,4161000
2015/6/1,16.23936844,16.23936844,15.83554821,15.92208104,5977000
2015/6/2,16.18167877,16.55665618,16.18167877,16.2682127,7785000
2015/6/3,16.15283775,16.23937059,16.06630491,16.15283775,2826000
2015/6/4,15.74901676,16.32590384,15.72017285,16.18168207,4627000
2015/6/5,15.8355484,15.92208123,15.2298164,15.80670339,3245000
2015/6/8,16.38358879,16.4412777,15.5759473,15.5759473,8671000
